Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
1995-96,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
1996-97,28,SEA,NBA,SF,70,21,982,.444,10.1,.853,.603,.111,.056,.083,.147,.479,.559,.286,.214,.333,.243,.757,.889,.095,23,.216,.375,0,0,,stewala01,,,,,,,,,,,,,,,
1997-98,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
1998-99,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
1999-00,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2000-01,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2001-02,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2002-03,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2003-04,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2004-05,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2005-06,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2006-07,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
2007-08,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stewala01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,favorde01,,,,,,,,,,,,,,,
2010-11,19,2TM,NBA,PF,78,27,1535,.517,5.1,1.000,.577,.252,.091,.079,.000,.517,.646,.371,.342,.242,,.619,,.219,82,,,0,0,,favorde01,,,,,,,,,,,,,,,
2010-11,19,NJN,NBA,PF,56,23,1091,.511,4.6,1.000,.601,.254,.083,.062,.000,.511,.627,.386,.348,.118,,.631,,.243,59,,,0,0,,favorde01,,,,,,,,,,,,,,,
2010-11,19,UTA,NBA,PF,22,4,444,.529,5.5,1.000,.529,.250,.107,.114,.000,.529,.689,.343,.333,.375,,.595,,.171,23,,,0,0,,favorde01,,,,,,,,,,,,,,,
2011-12,20,UTA,NBA,PF,65,9,1376,.499,4.9,1.000,.539,.288,.115,.058,.000,.499,.658,.352,.235,.269,,.572,,.164,68,,,0,0,,favorde01,,,,,,,,,,,,,,,
2012-13,21,UTA,NBA,PF,77,8,1787,.482,6.0,.991,.507,.262,.111,.109,.009,.487,.670,.282,.365,.258,.000,.606,,.157,80,.200,.000,2,0,,favorde01,,,,,,,,,,,,,,,
